brand,category,facebook,x,instagram,youtube,facebook_norm,x_norm,instagram_norm,youtube_norm,brand_power_index
Moretti,Birra,1000000.0,5222.0,20000.0,3750.0,0.006172839506172839,0.00016538954288984432,6.711409395973154e-05,0.0001388888888888889,0.0013245329322206173
betway,Scommesse,252041.0,140409.0,0.0,30000.0,0.0015558086419753087,0.004446989721872875,0.0,0.0011111111111111111,0.0013115435200093263
Joma,Abbigliamento Sportivo,531000.0,44770.0,231000.0,8300.0,0.003277777777777778,0.0014179413701988378,0.0007751677852348993,0.0003074074074074074,0.0012317777081398184
bwin,Scommesse,0.0,57430.0,0.0,83000.0,0.0,0.0018189049115595096,0.0,0.003074074074074074,0.0011950579589561487
Unicredit,Banche,552374.0,39350.0,30800.0,19900.0,0.003409716049382716,0.0012462808335341581,0.00010335570469798657,0.000737037037037037,0.0011261709426620733
eni,Carburanti,321598.0,65400.0,59700.0,25400.0,0.001985172839506173,0.0020713282468394906,0.00020033557046979865,0.0009407407407407408,0.0010600734768138101
eni,Energia,321588.0,65400.0,59600.0,25400.0,0.001985111111111111,0.0020713282468394906,0.0002,0.0009407407407407408,0.001059943681470368
repsol,Carburanti,226143.0,55460.0,120000.0,28700.0,0.0013959444444444444,0.001756511690668473,0.00040268456375838925,0.001062962962962963,0.001002494128693485
fastweb,Compagnie Telefoniche ,430166.0,27904.0,29400.0,24900.0,0.002655345679012346,0.0008837667186515159,9.865771812080538e-05,0.0009222222222222222,0.0009748310116091451
Ichnusa,Birra,664199.0,3175.0,74500.0,1520.0,0.0040999938271604934,0.0001005576021974829,0.00025,5.629629629629629e-05,0.0009394712946506101
iliad,Compagnie Telefoniche ,344757.0,28818.0,138000.0,19200.0,0.0021281296296296296,0.0009127146394100983,0.00046308724832214767,0.0007111111111111111,0.0009379469920835256
generali,Assicurazioni,287247.0,11669.0,27000.0,35000.0,0.0017731296296296297,0.00036957690080076475,9.060402684563759e-05,0.0012962962962962963,0.0008306627593309026
coop,E-Commerceretail,381191.0,25776.0,95700.0,9120.0,0.0023530308641975307,0.0008163693714149038,0.00032114093959731546,0.00033777777777777777,0.0008067942407441355
Diadora,Abbigliamento Sportivo,68200.0,0.0,464000.0,14700.0,0.00042098765432098764,0.0,0.0015570469798657717,0.0005444444444444444,0.000792497307150551
Mediolanum,Banche,181410.0,9680.0,47800.0,39300.0,0.0011198148148148148,0.00030658191788082977,0.00016040268456375838,0.0014555555555555556,0.0007627578569090695
santander,Banche,7974.0,99229.0,29300.0,20500.0,4.922222222222222e-05,0.0031427497034500888,9.832214765100671e-05,0.0007592592592592592,0.0007434474294175878
