brand,category,facebook,x,instagram,youtube,facebook_log,x_log,instagram_log,youtube_log,facebook_log_z,x_log_z,instagram_log_z,youtube_log_z,cluster,PC1,PC2,cluster_name
lottomatica,Scommesse,0.0,0.0,9421000.0,1000.0,0.0,0.0,16.058451904176643,6.90875477931522,-3.330698878321892,-2.5754579030267473,0.8740367335029919,-1.064215333167726,5,-2.983096985882321,0.794892198192747,Brand con presenza social selettiva su poche piattaforme
enel,Energia,1000000.0,26271.0,75300.0,23900.0,13.815511557963774,10.176259012252155,11.229248693912288,10.081675578048475,0.053948490173938615,-0.2338461114270806,-0.3240155180696962,-0.17862613540119646,1,-0.3459617166331862,-0.06070016479823101,Brand con presenza media e bilanciata
eni,Energia,321588.0,65400.0,59600.0,25400.0,12.681029611721879,11.088292827848269,10.995427631436174,10.142543822310387,-0.22398702584683744,-0.0239822376433834,-0.3820229860033746,-0.16163729041430497,1,-0.40219071134599726,0.01820956238153634,Brand con presenza media e bilanciata
Edison,Energia,75060.0,9148.0,14600.0,7510.0,11.226056395275458,9.121399862679535,9.588845298501564,8.924123891686012,-0.5804393546379916,-0.4765748607781036,-0.7309747814906526,-0.501708662298272,3,-1.150926413893153,0.02892357989186661,Brand con presenza social moderatamente inferiore alla media
a2a,Energia,37235.0,6620.0,22500.0,6890.0,10.525031314236381,8.798001694924846,10.021315031649332,8.837971491357209,-0.7521827378513886,-0.5509905141222604,-0.6236855838786184,-0.5257545304218337,3,-1.2279978795728024,0.07133264845447823,Brand con presenza social moderatamente inferiore alla media
hera,Energia,6439.0,7110.0,13300.0,11300.0,8.770283819098399,8.869398159883518,9.495594499353297,9.332646496360152,-1.1820764458675674,-0.5345618045125234,-0.7541088938931039,-0.3876865266410248,3,-1.4392510465601474,0.37382863582645665,Brand con presenza social moderatamente inferiore alla media
Emirates,Aviazione,12000000.0,1695409.0,8600000.0,1890000.0,16.300417291085605,14.343435157452129,15.967272877502799,14.452087916136215,0.6627228822971798,0.7250434753576741,0.8514165965059354,1.0411931421367941,0,1.6317328023985946,0.3294824206838661,Brand ad alta presenza omnicanale
qatar,Aviazione,30000000.0,1895672.0,8000000.0,6360000.0,17.216707972959764,14.455084478568297,15.894952224644102,15.665539092548997,0.8872039543277631,0.7507345831149497,0.8334749367289336,1.3798776924341964,0,1.90458770364457,0.5381347056821573,Brand ad alta presenza omnicanale
etihad,Aviazione,5000000.0,814281.0,2600000.0,343000.0,15.424948670398354,13.610062022335553,14.77102238760702,12.745488641595722,0.44824276328184687,0.5562903826186036,0.5546449489972121,0.5648667607620558,0,1.0605780620406193,0.08869265746255284,Brand ad alta presenza omnicanale
aeroitalia,Aviazione,29399.0,400000.0,19200.0,0.0,10.288749953326773,12.899222326086994,9.862717639992917,0.0,-0.8100690552035915,0.39272235504887576,-0.6630311972012604,-2.9925075883737486,4,-1.9519976985400618,-2.288163842034414,"Brand forti su Facebook, Instagram e X ma deboli su YouTube"
